Title,Genre,Plot
Eternal Sunshine of the Spotless Mind,"drama, science fiction","Shy, soft-spoken Joel Barish and unrestrained free-spirit Clementine Kruczynski begin a relationship on a Long Island Rail Road train from Montauk to Rockville Centre. They are almost immediately drawn to each other, despite their contrasting personalities, and both had felt the need to travel to Montauk that day. Although they do not realize it, Joel and Clementine are, in fact, former lovers, now separated after having spent two years together. After a fight, Clementine had hired the New York City firm Lacuna, Inc. to erase all of her memories of their relationship. Upon discovering this from his friends Rob and Carrie, Joel was devastated and decided to undergo the procedure himself, a process that takes place while he sleeps.
Much of the film subsequently takes place in Joel's mind, during this memory erasure procedure. Joel finds himself revisiting his memories of Clementine in reverse, starting from the disintegration of their relationship. As he comes across happier, positive memories of Clementine early in his relationship, he decides to preserve at least some memory of her and his love for her, trying to evade the procedure by taking his idealized memory of Clementine into memories not related to her, or waking up to stop the process. Despite his efforts, the memories are steadily erased. He comes to the last remaining memory of Clementine, the day he had first met her at a beach house in Montauk. As this memory disintegrates around them, she tells him, ""Meet me in Montauk.""
Separate, but related, story arcs revolving around the employees of Lacuna are revealed during Joel's memory erasure. Patrick, one of the Lacuna technicians performing the erasure, uses Joel's memories and mannerisms to seduce and romance Clementine. Mary, the Lacuna receptionist, is dating the other memory-erasing technician, Stan, but has feelings for Dr. Howard Mierzwiak, the married doctor and head of Lacuna. During Joel's memory wipe, Mary discovers she had previously had an affair with Dr. Mierzwiak and agreed to have this erased from her memory when Dr. Mierzwiak's wife found out. On learning this, she asks Stan whether he knew about this, to which he claims that he didn't. Mary then quits her job and steals the company's records, mailing them to all of Lacuna's customers out of revenge.
The film returns to the present, after Joel and Clementine have met at the train station of Montauk. They both come upon their Lacuna records later that day, and react with shock and bewilderment – they have no clear memory of having known each other, let alone having had a relationship and having had their memories erased. Joel pleads with Clementine to restart their relationship; Clementine initially resists, pointing out it could go the same way. Joel accepts this and they decide to try anyway."
"Me, Myself & Irene",comedy,"Charlie Baileygates (Jim Carrey) is a veteran Rhode Island State Police trooper who has been taken advantage of by those around him, starting with his former wife Layla (Traylor Howard). Despite his friends warning him of Layla's infidelity, Charlie refused to accept she was in an affair, even after she gave birth to triplet black boys, until she ran off with her little person genius black lover, Shonté, abandoning her children. In the present, Charlie has raised the triplets as his own, Jamal, Lee Harvey, and Shonté Jr (Anthony Anderson, Jerod Mixon, Mongo Brownlee), likewise geniuses, but huge in size as compared to their biological father. While Charlie is consistently loved and respected by his ""sons"", he is continually abused by the rest of the town, who see him as a stupid coward whom anyone can easily walk over. As a result of years of such treatment, Charlie develops a split personality named Hank to deal with the confrontations Charlie avoids. Emerging whenever Charlie is under extreme stress, Hank is an over-the-top, rude, and violent persona reminiscent of characters played by Clint Eastwood.[2] A psychiatrist prescribes medication to keep Charlie's Hank personality at bay.
Believing that Charlie needs a vacation, his commanding officer (Robert Forster) orders him to escort Irene Waters (Renée Zellweger) from Rhode Island to Massena, New York, because she reportedly committed a hit-and-run. Irene insists the hit-and-run accusation is a lie told by Dickie (Daniel Greene), her mob-connected ex-boyfriend, and by corrupt police officers in his employ, to keep her from revealing Dickie's illegal activities to the proper authorities. In Massena, Charlie prepares to turn over Irene to two United States Environmental Protection Agency (EPA) agents, when a hitman with a contract on Irene's life attempts to assassinate her, killing one of the EPA agents. Charlie keeps Irene safe, and they flee, accidentally leaving his medication behind, allowing the Hank personality to emerge frequently. Meanwhile, the FBI suspects that Charlie is responsible for the murder of the EPA agent. FBI agents begin pursuing him and Irene, as do crooked police officers in Dickie's pay, Boshane (Richard Jenkins) and Gerke (Chris Cooper). The chase becomes a media spectacle, alerting Charlie's sons to his predicament.
Charlie and Irene decide to return to Rhode Island, developing a bond along the way. Though Irene is taken by Charlie's personality, the frequent emergences by Hank worry her, though his more aggressive personality keeps them out of trouble. Along the way they pick up Casper aka ""Whitey"" (Michael Bowman), an albino waiter from a restaurant who claims he killed his entire family in the past. While stopping at a motel, Charlie discovers how he might be able to suppress Hank and goes to have a conversation with Irene about it, and they sleep together. The next morning, Hank reveals that actually it was he who slept with Irene. In the confusion, they are almost ambushed by Boshane and Gerke, but Charlie's sons, having found them, create a distraction, stealing a police helicopter, they call in a false report, stating Charlie and Irene have been spotted in the woods nearby, allowing Charlie and Irene to leave without knowing about the police who had left before they exited their room, leaving Casper behind.
They board a train back to Rhode Island. Dickie boards the same train, unable to rely on his henchmen to stop Charlie and Irene. He kidnaps her, and Charlie gives chase, working together with Hank to save her. Hank then appears to try to stop Charlie from rescuing her, but Charlie finally stands up for himself against his own fears, thus permanently nullifying Hank for good. As Charlie tries to wrestle her back and disarm Dickie on a bridge, Dickie shoots off his thumb. Dickie is then hit from behind by a lawn dart thrown by Casper, killing him. Charlie and Irene fall from the bridge into a river below, where Charlie's sons arrive to help rescue them. Regrouping with Casper, Charlie apologizes for making him kill again, but Casper reveals he made up his backstory due to the fact that Charlie talked too much at the motel and scared him. The police arrive but quickly learn of Irene's plight and the corrupt cops working for Dickie. Gerke is arrested, Charlie is congratulated for bringing him to justice, and Irene is cleared of the charges against her.
Irene prepares to leave Rhode Island when she is pulled over by the police, but this proves only to be a diversion to allow Charlie to propose marriage to her, which she happily accepts.
The post-credits scene sees everyone looking for Charlie's thumb in the river, Whitey finds it but a fish eats it."
Inaam Dus Hazaar,action,"Kamal Malhotra (Sanjay Dutt) is a salesman working with a table-fan manufacturing firm. He lives with his uncle and mother. One night in a jewel exhibition, he meets the Nawab of Chandrapur (Raza Murad). While introducing himself to the Nawab, his name is overheard by a member of a gang, Kamran (Viju Khote). He is invited by Kamran to meet a diamond dealer, Seth Narottam Johri. The members of the gang are actually taking him to be the famous CID officer Kamal Malhotra. He is left drunk in a car and the police arrest him. He explains to the police what happened last night, but is unable to prove the identity of the gang.
Another night in a hotel, he finds Narottam Johri and tries to catch him. Narottam Johri is killed by another member of the gang, Luca (Gulshan Grover) and Kamal gets accused of the murder. He escapes from the hotel and tries to catch Luca, but the only thing he could get hold of is a train ticket. To save himself and to catch Luca, he flees from the police and travels by the same train in which Luca is travelling. There, he meets Sonia Shrivastav (Meenakshi Seshadri) and falls in love with her. To hide his identity, he introduces himself as Ashok Saxena to her.
In the train, the police come searching for him. So he escapes from the train taking Sonia as hostage in the police jeep. Sonia later tells Kamal that she is a model. Actually, she works for Captain S.P. Singh (Amrish Puri), whose gang is in search for CID officer Kamal Malhotra.
She makes the Captain understand in a meeting that she is trying to find the true identity of Kamal, while tricking him into thinking that she loves him. But the Captain realises that she cannot be trusted and asks Luca to kill her. However, Sonia makes a narrow escape and Luca is killed.
One night while Kamal is with the Nawab, he gets kidnapped by the Captain's men. However, he again manages to escape by getting himself caught by the police after creating chaos in an auction.
Towards the end, the Nawab organises an exhibition of his jewels, which Sonia is supposed to exhibit by wearing them. During the exhibition, Kamal is kept in a closed room as he watches the exhibition on a CCTV. The Captain disguises himself as the Nawab by wearing a mask.
At this point, it is revealed that it is actually Sonia who is the real CID officer Kamal Malhotra, and she is working with the Captain to take revenge for her brother, who was killed by Luca. Kamal Malhotra (Sanjay) now realises that Sonia (now also Kamal Malhotra) actually loves him and was doing all this for a good cause.
The story ends with the Captain's death after a chase sequence and finally, Kamal Malhotra (Sanjay) marries Sonia Shrivastav (Meenakshi)."
The Virtuous Sin,comedy drama,"Marya is the wife of medical student Victor Sablin, who finds it impossible to deal with military life when he is inducted into the Russian army during World War I. With her husband is sentenced to death by firing squad due to his insubordination, Marya offers herself to General Gregori Platoff in order to save him. When the two unexpectedly fall in love, Victor — not caring that his life has been spared — threatens to kill his rival. His determination to eliminate the general falters when Marya confesses she is not in love with her husband — and never was."
The Brothers,comedy,"Jackson Smith (Chestnut), Brian Palmer (Bellamy), Derrick West (Hughley) and Terry White (Moore) are lifelong friends since childhood. The film has separate subplots with each character, showing how their friendships binds them.
Jackson struggles with commitment issues and often has nightmares of being shot by a bride. When working through his issues with a therapist, she suggests he meet a woman that night and ""give his heart to her."" He soon meets a beautiful freelance photographer (Union) who makes Jackson realize that he may be capable of true love and commitment. When he finds out that Denise once dated his father, his new outlook on love takes a turn.
Brian, an attorney, realizes that his chronic womanizing is catching up to him in ways he didn't imagine when a former lover (also the judge in a case he is currently working) sends him to jail. He makes a vow to not date African-American women because he believes that they carry unnecessary drama. Brian is working to gain custody of his younger brother who currently lives in a affection-less household with his mother.
Derrick, the only married member of the group, loves his wife (Jones) and daughter, but is struggling with the idea of his wife's not giving him the type of sex he desires. After many attempts to convince his wife that pleasing your partner is an important part of a successful marriage, he and his wife separate. In addition to wanting more in the bedroom, Derrick is trying to convince his wife to let his ailing mother live in their home.
Terry, a former womanizer who is tired of playing the field and ready to settle down, is preparing to marry his girlfriend of two months, Bebe (Dalian), despite the warnings of his friends who feel that he is rushing into the commitment. As his wedding day fast approaches, he'll have to decide he is truly ready to make the leap into the rest of his life."
Circus,romantic action,"Circus has a tag line along with its sub title Nodi Maja Maadi. Dayaal, who spoke with emotional overtones in the film, said that he will be completing the film after sixty days of schedule. He said, nearly seventy percent of the shooting will be done near or on a train. I had to toil hard to get the required permission for the shoot. The story starts from Mysore station and ends in Bangalore station. director has taken permission from Railway authorities to shoot the film in Railway station and tracks in Mysore, Konkan Railway and Railway line stretching in Sakleshpura and Subramanya Ghat section.[2][3]
A joke gone bad, the story is about Dhanush (Ganesh) and his group of friends who live in the railway colony and their meeting point is the railway station.
Dhanush is the leader of the gang and just to have some fun, they decide to send a letter stating on a particular date a train travelling from Mysore to Bangalore will be exploding. However, what they realize later after posting is that one of the friend's address is there on the letter.
In a hurry, they get into the RMS bogie of the train and after a lot of twists finally manage to extract the letter from the pile. In this process, what Dhanush discovers is that the same day a real plot has been hatched by the terrorists to blow up the Gandhadagudi express so he decides to locate it and foil the plan.
In the process of his journey, the friends take a break at one of the houses where Priya (Archana Gupta) and in no time, love blooms between Dhanush and her. So what happens to Gandhadagudi express? Is Dhanush successful in his attempts? All this forms the rest of the story.[4]"
The Woman Between,drama,A young man returns from Europe after several years' estrangement from his family caused by his disapproval of his father's remarrying after his mother's death. At the family reunion he learns that his stepmother is the woman with whom he had a shipboard romance on the voyage home.
Borat! Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,mockumentary,"At the behest of the Kazakh Ministry of Information, reporter Borat Sagdiyev leaves Kazakhstan for the United States, which he called ""Greatest Country in the World"", the ""U, S and A"", to make a documentary. He leaves behind his wife Oksana and other inhabitants of his village. His companions are his producer Azamat Bagatov and a pet hen.
In New York, the cultural differences are highlighted when Borat washes his face with toilet water, masturbates to a mannequin and then defecates in front of Trump Tower. Borat sees an episode of Baywatch on TV and immediately falls in love with Pamela Anderson's character, C. J. Parker. While interviewing and mocking a panel of feminists, he learns of the actress's name and her residence in California. Borat is then informed by telegram that Oksana has been killed by a bear. Delighted, he resolves to travel to California and make Pam Anderson his new wife. Azamat is afraid of flying because of the September 11, 2001, attacks, which he believes were the work of Jews. Borat takes driving lessons and buys a dilapidated ice-cream truck for the journey.
During the trip, Borat acquires a Baywatch booklet and continues gathering footage for his documentary. He meets gay pride parade participants, politicians Alan Keyes and Bob Barr, and African American youths. When Borat tells Keyes about the friends he made at gay pride, Keyes reveals that they are homosexual, stunning Borat and filling him with regret. Borat is also interviewed at a live local television station and proceeds to disrupt the weather report. Visiting a rodeo, Borat excites the crowd with jingoistic remarks, but then sings a fictional Kazakhstani national anthem to the tune of ""The Star-Spangled Banner"", receiving a strong negative reaction.
Staying at a bed-and-breakfast, Borat and Azamat are shocked to find out their hosts are Jewish. The two escape after throwing money at two cockroaches, believing that Jews can shape-shift. Borat attempts to buy a handgun to defend himself, but is turned away because he is not an American citizen, so he buys a bear instead.
An etiquette coach suggests Borat attend a private dinner at an eating club in the South. During the dinner, he unintentionally offends the other guests. When he lets Luenell, an African-American prostitute, into the house and shows her to the table, they both get kicked out. Borat befriends Luenell, and she invites him into a relationship with her, but he tells her that he is in love with someone else. Borat then visits an antique shop where he clumsily breaks various Confederate heritage items, almost bankrupting the documentary and offers to pay for the damage with pubic hair.
At a hotel, Borat, just out of the bath, sees Azamat masturbating over a picture of Pamela Anderson. A furious Borat accidentally reveals that she is the reason why they're travelling across the entire country instead of staying in New York. Azamat becomes livid at Borat's deception, and the situation escalates into a nude brawl with huge material damage to their room which spills out into the hallway, a crowded elevator, and then into a packed convention ballroom.
Azamat abandons Borat, taking his passport, all of their money, and their bear (whose head is later seen inside Azamat's motel refrigerator). Borat's truck runs out of gas, and he begins to hitchhike to California. He is soon picked up by drunken fraternity brothers from the University of South Carolina. On learning the reason for his trip, they show him the Pam and Tommy sex tape which reveals that she is not a virgin. Despondent, Borat burns the Baywatch booklet and, by mistake, his return ticket to Kazakhstan.
Borat attends a United Pentecostal camp meeting, at which Republican U.S. Representative Chip Pickering and Mississippi Supreme Court Chief Justice James W. Smith, Jr. are present. He regains his faith, and forgives Azamat and Pamela. He accompanies church members on a bus to Los Angeles and disembarks to find Azamat dressed as Oliver Hardy (though Borat thinks that he is dressed as Adolf Hitler). The two reconcile and Azamat tells Borat where to find Pamela Anderson. Borat finally comes face-to-face with Anderson at a book signing at a Virgin Megastore. After showing Anderson his ""traditional marriage sack"", Borat pursues her throughout the store in an attempt to abduct her until security guards intervene.
Borat visits Luenell and they return to Kazakhstan together, bringing back American customs and technology. This includes the apparent conversion of the people to Christianity (the Kazakh version of which includes crucifixion and torturing of Jews) and the introduction of computer-based technology, such as iPods, laptop computers and a high-definition LCD television.
Over the credits, the fictional Kazakhstan national anthem which Borat sang at the rodeo is played accompanied by images of Soviet-style industry."
"Butler, TheThe Butler",drama,"In 2009, an elderly Cecil Gaines recounts his life story while waiting at the White House to meet the newly inaugurated president.
In 1926, at the age of seven, Gaines is raised on a cotton plantation in Macon, Georgia. When the farm's owner rapes Cecil's mother, Cecil's father confronts him and is killed. Cecil is taken in by the estate's caretaker, who trains Cecil as a house servant.
In 1937, at age eighteen, Cecil leaves the plantation. Desperately hungry, he breaks into a hotel pastry shop. The elderly master servant, Maynard, takes pity on Cecil and gives him a job. Cecil learns advanced serving and interpersonal skills from Maynard, who later recommends Cecil for a position in a Washington, D.C. hotel. While working there, Cecil meets and marries Gloria, and the couple has two sons: Louis and Charlie. In 1957, Cecil is hired by the White House during Dwight D. Eisenhower's administration. White House maître d'hôtel Freddie Fallows introduces Cecil to head butler Carter Wilson and co-worker James Holloway. Cecil witnesses Eisenhower's reluctance to use troops to enforce school desegregation, then his resolve to uphold the law by racially integrating Little Rock Central High School in Arkansas.
Louis, the elder son, becomes a university student at Fisk University in Tennessee, although Cecil feels that the South is too volatile. Louis joins a student program led by Southern Christian Leadership Conference (SCLC) activist James Lawson, which leads to a nonviolent sit-in at a segregated diner, where he is arrested. Gloria, who feels that Cecil puts his job ahead of her, descends into alcoholism.
In 1961, after John F. Kennedy's inauguration, Louis and others are attacked by members of the Ku Klux Klan while on a freedom ride to Birmingham, Alabama. Louis participates in the 1963 Birmingham Children's Crusade, where dogs and water cannons are used to stop the marchers, one of the movement's actions which inspires Kennedy to deliver a national address proposing the Civil Rights Act of 1964. Kennedy is later assassinated. His successor, Lyndon B. Johnson, enacts the legislation. As a goodwill gesture, Jackie Kennedy gives Cecil one of the former president's neckties.
Louis participates in the 1965 Selma Voting Rights Movement, which inspires Johnson to demand that Congress enact the landmark Voting Rights Act of 1965. Johnson also gives Cecil a tie bar.
In the late 1960s, after civil rights activist Martin Luther King, Jr.'s assassination, Louis tells his family that he has joined the Black Panthers. Cecil orders Louis and his girlfriend to leave his house. Louis is arrested again. Cecil becomes aware of President Richard Nixon's plans to suppress the Black Panthers.
Charlie confides to Louis that he plans to join the war in Vietnam. After enlisting, Charlie is killed and buried at Arlington National Cemetery. When the Black Panthers resort to violence, Louis leaves the organization and returns to college, earning his master's degree in political science and eventually running for a seat in Congress, although Cecil continues to hold resentment against him.
Cecil repeatedly confronts his supervisor at the White House over the unequal pay and career advancement provided to the black White House staff. With President Ronald Reagan's support, Cecil prevails, his reputation growing to the point that he and his wife are invited by the Reagans to be guests at a state dinner. Cecil becomes uncomfortable with the class divisions in the White House. After witnessing Reagan's refusal to support economic sanctions against Apartheid South Africa, Cecil resigns.
Gloria agitates for Cecil to mend his relationship with Louis. Realizing his son's actions are heroic, Cecil joins Louis at a protest against South African apartheid; they are arrested and jailed together.
In 2008, Gloria dies shortly before Barack Obama is elected as the nation's first African-American president. Two months, two weeks and one day later, Cecil prepares to meet the newly inaugurated President, wearing the articles he received from Kennedy and Johnson. Stephen W. Rochon approaches Cecil and tells him the president is ready, preparing to show him the way to the Oval Office. Cecil tells him that he knows the way."
Ilamai Oonjal,action,"Some college students from Chennai go on vacation trip to a hill station. On their trip, girls get killed one by one in a thrilling manner. The rest of the story is why they got killed and who is the killer.[1]"
The Vow,romantic drama,"Paige Collins (Rachel McAdams) and her husband Leo (Channing Tatum) come out of a movie theater. On their way home, at a stop sign, Paige unbuckles her seatbelt to lean over and kiss Leo. At that very moment, a truck rams their car from behind and Paige crashes through the windshield. Both of them are rushed to the emergency room, and as Leo, in a voice-over talks about how ""moments of impact help in finding who we are"" the movie cuts to how Paige and Leo first met. The scenes of how they courted, became engaged and married at the Art Institute of Chicago and share a kiss under the Cloud Gate are interwoven with the present.
When Paige regains consciousness, she thinks Leo is her doctor, having lost all memories of the past few years. When her wealthy parents, Bill and Rita Thornton, learn about this, they visit her. This is the first time that Leo meets them, and they do not appreciate Leo taking their daughter, and not being informed. Paige does not understand why he would not have met her parents, after having been married to her. She finds it even stranger that he did not know why either. Nor did she understand why she left law school, broke her engagement with her previous fiancé, Jeremy, and why she has not been in touch with her family and friends. Her parents insist on taking her home with them and Paige agrees, thinking she might have married Leo for some mutual benefit. She seeks evidence of the marriage. Just as she is about to leave, Leo comes running to play her a voice message in which she sounds very happy and romantic. Paige decides to go back with Leo, hoping it will help her regain her lost memory. Paige is welcomed home with a surprise party by her friends, but as she is not able to remember any of them, she finds it overwhelming and is extremely confused.
The next day Paige ventures out to her regular café, but does not remember having been there and loses her way back. She calls her mother because she does not know or remember Leo's number. That evening Leo and Paige are invited for dinner by her parents. At the dinner and in the bar later, Leo does not fit in with her family and friends. He persists in his attempts to help her regain her lost memory, but Paige is more driven to learn why she left law school and broke her engagement to Jeremy. During the course of one encounter with Jeremy, she kisses him. Her doctor advises her to fill the holes in her memory rather than be afraid of her past. With her sister Gwen's wedding approaching, Paige decides to stay with her parents until the wedding. Though Leo asks her out on a date and spends a night with her, the relationship is further strained when Paige's dad attempts to persuade Leo to divorce his daughter, and by Leo punching Jeremy for talking about chances to bed his wife.
Paige rejoins law school and Leo signs divorce papers. At a store, she meets her old friend Diane who, unaware of her amnesia, apologizes for having had a relationship with Paige's dad, thus alerting Paige as to why she had left her family. When she confronts her mother about this, Rita tells her that she decided to stay with Bill for all the things he had done right instead of leaving him for one wrong act. Paige then asks Leo why he never told her, and he replies he wanted to earn her love instead of driving her away from her parents. Paige, while in class, starts sketching; thus depicting why she first left law school. She continues her interest in art, eventually returning to sculpting and drawing. Though Jeremy confesses he broke up with his present girlfriend, hoping to be back with her, she turns him down stating she needs to know what life would be like without him.
As seasons change, Leo discusses his philosophy about ""Moments of impact."" ""A moment of impact whose potential for change has ripple effects far beyond what we can predict. Sending some particles crashing together, making them closer than before. While sending others, spinning off into great ventures, landing where you never thought you’d find them..."" Back in her room, Paige finds the menu card on which she had written her wedding vows and is deeply moved. The movie ends with Paige finding Leo at their regular Café Mnemonic and going with him to try a new place instead of their old haunts."
Country Town,unknown,A severe drought strikes the town of Bellbird. Young reporter Philip Henderson arrives and stirs old tensions. The locals rally together and hold a fund-raising gymkhana.
Ainthu Ainthu Ainthu,action thriller,"Aravind (Bharath) had met with a terrible accident seven months ago, that left him physically and emotionally scarred. He is currently living with his elder brother Gopal (Santhanam) and being treated for some psychotic disorder. Aravind claims that during the accident, his girlfriend Liyana (Mrithika) was with him and she died in his arms. The strange thing is that such a girl does not seem to exist at all. No one has seen or even heard of her; she does not appear in the student list in her college or even the census reports. She is not mentioned in the newspaper reports of the accident either and some strangers are occupying her home. The psychiatrist is of the opinion that Liyana is a figment of Aravind’s imagination and exists only in his mind. Unable to convince even Gopal of her existence, Aravind tries to get on with his life by going back to work. Here he meets Manjari (Erica Fernandes), a colleague (in a software company Paayal Infotech which is owned by CEO Sudesh Berry), who sympathises with him and also tries to help find some clue to Liyana’s identity. Despite all evidence against Liyana’s existence, memories of her and their love continue to haunt Aravind. Fortunately for him, a chance meeting with Liyana’s aunt sets the ball rolling (Aravind obtains all the information from Liyana's aunty who is not really her aunty but instead pretended to be, she gets killed by a goon who is killed by Aravind in a few seconds). After that things begin to unravel, Aravind finds out that he is being tortured by his own company boss (Sudesh). Reason for doing this is that Liyana happens to be splitting image of Sudesh's own dead lover called Payal so in order to marry her, Sudesh made a plan to torture Aravind by involving Manjari in this game, Gopal gets killed in this mayhem. Aravind shoots Manjari and henchmen. Sudesh narrates that doctor was a fake person set up by him to fool Aravind and also threatened his brother Gopal to pretend ignorance about Liyana. Doctor tortures Aravind with a planned shock treatment to make him go insane but he is completely healthy and kills the doctor. He kills Sudesh and henchmen and unites with Liyana who is alive."
Dawn on the Great Divide,western,The Rough Riders protect a wagon train and supplies for the railroad against a power hungry businessman who dresses his army of henchmen as Indians.
Rock 'n' Roll High School,comedy,"The movie is set in 1980. Vince Lombardi High School keeps losing principals to nervous breakdowns because of the students' love of rock 'n' roll and their disregard for education. Their leader, Riff Randell (P. J. Soles), is the biggest Ramones fan at Vince Lombardi High School. She waits in line for three days to get tickets to see the band, hoping to meet Joey Ramone so she can give him a song she wrote for the band, ""Rock 'n' Roll High School"".
When Principal Togar (Mary Woronov) takes her ticket away, Riff and her best friend Kate Rambeau (Dey Young) have to find another way to meet their heroes—by winning a radio contest. When Miss Togar and a group of parents attempt to burn a pile of rock records, the students, joined by the Ramones (who are made honorary students) take over the high school, with Miss Togar asking the musicians ""Do your parents know you're Ramones?""[3] When the police are summoned and demand that the students evacuate the building, they do so, which leads to a quite literal explosive finale."
Hi Diddle Diddle,comedy,"Young Janie Prescott is about to be married to her sailor sweetheart, Sonny Phyffe, but the wedding is delayed because the ship hasn't arrived to its dock. The wedding ceremony has to be pushed forward, and is combined with a christening ceremony that is to be performed by the same pastor. Sonny's ship eventually docks and when he meets his father, small-time swindler Hector, before the wedding, he is given a corsage to pass on to Janie. Hector has actually stolen the corsage from Sonny's stepmother, opera singer Genya Smetana. Hector isn't aware of that the corsage has real diamonds in it, and it is a gift from the opera where Genya works. Unfortunately the wedding is yet again delayed when it is discovered that Peter Carrington III, Janie's previous suitor, has managed to lose all of Mrs. Prescott's money on bad investments and a roulette table at the 59 Club. The family is now broke. Sonny then tells Janie he doesn't care about her money and the wedding proceeds as planned, after Sonny agrees to let his father help Mrs. Prescott get her money back.
With the help of some friends Hector manages to fix the roulette tables at the 59 Club, and after the wedding he drags Sonny to the club before he goes off on his honeymoon. Sonny wins repeatedly, and Peter who watches, decides to make another attempt at sabotaging the relation between Janie and Sonny. He takes Janie, Mrs. Prescott and a Senator Simpson to 59 Club. Confusion and suspicion arises as Hector is seen with his friend, night club singer Leslie, in a compromising position, and then Janie sees Sonny in a similar way. Genya is oblivious about her step-son Sonny, whom she does not know even exhists, and Janie who he is about to marry, so she thinks Hector has married Janie and given her the stolen corsage.
Janie is then called to service as an air raid warden before she has time to go away on her honeymoon, while Sonny spends the night alone. To venge all the trouble that has arisen, Hector sets up to trick Peter into a bad business deal, buying worthless stock to a high price. Sonny owns such stock and when Peter is scammed, Sonny makes a fine profit. It turns out though that the banker in charge of the transaction bought the stock himself to make a good deal, and that Peter and Mrs. Prescott staged the loss of their property to test Sonny's intentions with Janie. Genya learns that Hector has a son from another relation, who is married to Janie. Sonny and Janie finally reunite at his father's apartment, and they spend the rest if their two-day honeymoon at her apartment. When a new order is given that Sonny has to travel immediately with his ship, the maid covers for the couple and lies, saying they already left town. Thus they get to be undisturbed for the weekend, and everyone else meet at Hector's apartment, singing Wagner opera songs together.[1]"
Ladies Only,social,"Three girls from different regions of India, Sabita Devi (Gujarat), Bibbo (Punjab), and Prabha (Bengal) meet at a railway station. With no place to stay they decide to find accommodation together. A cook (Bhudo Advani) joins them speaking the language from each state. A young crook (Surendra) enters their life and trouble starts brewing between the girls when they all fall in love with him."
Anna and the Apocalypse,unknown,"When the zombie apocalypse hits the sleepy town of Little Haven at Christmas, teenager Anna and her high school friends have to fight, sing and dance to survive, with the undead horde all around them."
Kaanal Neer,unknown,"Suren (Nageswara Rao) hails from a zamindari family. Unable to get permission to pursue his studies, he leaves home and reaches Madras, hiding his identity. A rich man engages him to teach his younger daughter Pramila; his elder daughter Madhavi (Bhanumathi) has become a widow at a young age. Hearing about the goodness of the teacher, she gets drawn to him though she has never met him. Later, due to mischievous relatives, she begins to dislike him and dismisses him. Suren is involved in a horse-carriage accident and admitted to a hospital, after which his father takes him away. Suren, unable to forget Madhavi, names a village in his zamindari after her. To please his parents, he marries a young woman (Sowcar Janaki) but he cannot forget Madhavi. A conspiracy is hatched by evildoers to get Madhavi’s property. To fight for her rights, she goes to meet the zamindar not aware that he is Suren! Unable to neither forget her nor go against tradition, he pines away and dies in Madhavi’s arms."
